reactive_energy_cost,imbalance_cost,harmonic_cost,neutral_current_cost,baseline_active_energy_cost
9375,38325.0000000009,3.2613273,379.6875,250575
10200,36074.0000000003,3.2623074,3386.88,250650
12150,34884.0000000004,3.258387,4668.9075,252450
12750,36155.0000000009,3.2586543,55.47,252375
11550,35926.9999999991,3.2603472,1720.8075,247350
12375,38303.9999999995,3.2582088,1742.43,246600
11700,40640.0000000006,3.2585652,3346.68,245175
11100,42352.9999999997,3.2572287,5304.6075,243900
12675,40520.0000000006,3.2567832,5927.4075,245925
14325,40880.0000000006,3.2560704,792.1875,251250
15975,44032.0000000007,3.2567832,279.3675,253800
16200,47281.9999999998,3.2550012,3168.75,255150
13650,52999.9999999987,3.2558922,75,251100
13275,50744.9999999991,3.2550012,3974.88,247500
14775,49097.9999999995,3.2575851,2655.1875,249975
12450,60163.9999999995,3.2599017,1438.83,248025
9375,63070.0000000001,3.264624,768,236325
7650,63600.0000000001,3.2701482,0.12,234450
21225,53626.9999999999,3.2322654,4129.23,231675
40050,35847.9000000004,3.1624992,686.1888,227775
28500,44747.9999999991,3.202164,3560.4075,230850
16725,65284.9999999996,3.2364108,867,239400
12075,68147.999999999,3.2709501,4029.6675,236250
7950,72709.9999999997,3.2712174,4836.0675,231675
8025,73696.0000000003,3.2765634,2718.03,233250
8475,77172.0000000004,3.279771,6075,233325
6975,74612.9999999991,3.2819985,2601.9075,229350
4275,73304.0000000003,3.286008,955.8675,226800
9375,59289.9999999994,3.2873445,4320.6075,225150
11025,55392.0000000005,3.288681,267.9075,225375
13725,63388.0000000001,3.2185944,6197.1075,225975
36600,48700.0799999992,3.1708233,32.3433,225600
25350,48663.9999999998,3.1739661,491.52,224400
27300,43910.9999999996,3.1740534,4704.48,223350
35700,38071.440000001,3.1712598,2664.097425,222675
13350,56050,3.2137434,4920.75,227625
6525,63388.0000000001,3.250368,343.47,229350
21000,56869.9999999999,3.2090688,846.72,229725
31950,51556.9999999991,3.1692519,1170.1875,229275
16725,58260.9999999994,3.2080104,1406.1675,231225
8025,64206.0000000007,3.2427945,5508.3675,235050
8475,64024.0000000001,3.2404779,1188.03,236175
8025,65178.0000000008,3.2447547,3468,225900
6825,65339.9999999996,3.2482296,1329.3075,219375
6225,64260.0000000007,3.2484078,777.63,214875
5475,67815.9999999986,3.2481405,26.1075,207600
5625,67944.0000000009,3.2486751,1491.87,208575
